Pos	Jugador	Club	Puntos	Categoría	id_fetemba
319	Maehama, Federico	Arg Takkyu	1707	2	221
320	Chaible, René	Libre	1707	2	559
321	Martinez, Victor	Asoc. Yabrudense	1706	2	3370
322	Yonamine, Matías	Libre	1704	2	159
323	Mastropietro, Juan	Libre	1704	2	1264
324	Dorigoni, Enzo	Libertad	1703	2	2718
325	Nakandakare, Isao	Libre	1700	2	733
326	Perez, Lucas	Fenix	1697	2	1056
327	Nakagama, Alan Jun	Fenix	1697	2	2938
328	Fazio, Agustín	Libre	1693	2	34
329	Riback, Tobias	Macabi	1692	2	2621
330	Tiercin, Gonzalo	Atlanta	1691	2	515
331	Quiroz, Arny Alberto	Social Club TDM	1689	2	2796
332	Correas Espeche, Ezequiel	Rioja	1687	2	104
333	Leybovich, Guillermo	Asoc. Yabrudense	1686	2	976
334	Oppezzo, Sebastián	River Plate	1685	2	550
335	Martire, Emiliano	Circulo Campano	1685	2	1928
336	Santos Lima, Roberto	La Legión TDM	1685	2	2622
337	La Boccetta, Ignacio	Peretz	1680	2	3358
338	Escobar, Carlos	Peñarol	1679	2	1528
339	Candela, Martín	Fenix	1678	2	22
340	Lotito, Tomás	Libre	1678	2	748
341	Fragapane, Leonardo Nicolas	Nichia Gakuin	1678	2	3361
342	Florentin, Victor	Peretz	1677	2	24
343	Gorrostorrazo, Iván	Libre	1676	2	1322
344	Nikitin, Evgeny	Ferrocarril Oeste	1676	2	4368
345	Fragapane, Isabella	Nichia Gakuin	1675	2	2823
346	Fernandez Arevalo, Mariano	Nikkei TDM	1675	2	3717
347	Müller, Daniel	La Legión TDM	1674	2	3303
348	Koatz, Pablo	Peretz	1671	2	16
349	Rosen, Franco	La Legión TDM	1666	2	2503
350	Rizzo, Juan	San Lorenzo	1664	2	1151
351	Gestido, Martín	Libre	1663	2	1261
352	Sanchez, Javier	Libre	1662	2	1002
353	Sierra, Agustín	Libre	1662	2	1262
354	Nemoto, Guillermo	River Plate	1659	2	147
355	Tula, Ricardo	Nikkei TDM	1658	2	1271
356	Passera, Santiago	Top Minc	1658	2	1763
357	Dirito, Siro	Fenix	1657	2	1154
358	Lori, Hikaru	GTM	1657	2	2015
359	Barr, Eduardo	CAVA	1656	2	47
360	Harima, Maia	Libre	1656	2	262
361	San Millan, Federico	Rioja	1655	2	519
362	Beloqui, Marcio	Libre	1655	2	1216
363	Bianchini, Ignacio	TMR	1655	2	3601
364	Aguirre, Daniel	La Legión TDM	1653	2	1781
365	Lescano, Ramiro	Boca Juniors	1652	2	2437
366	Crimaldi, Francisco	Alvear Club	1651	2	4568
367	Kiersenblat, Martín	Libre	1650	2	467
368	Dragas, Zeljka	Libre	1650	2	558
369	Silva Castillo, Luciano	Padilla	1649	2	1098
370	Okuyama, Abril	Asoc. Jap. Burzaco	1648	2	1757
371	Tissenbaum, Santiago	UCA Marash Argentina	1646	2	692
372	Beltran, Nicolás	Fulgor Villa Crespo	1640	2	1035
373	Garcia, Ana María	Libre	1639	2	532
374	Pokorny, Solange	Nichia Gakuin	1638	2	2215
375	Rodriguez, Facundo	Libre	1635	2	1441
376	Pareja, Carlos	Libre	1635	2	2565
377	Luna, Fernando	TMR	1630	2	1053
378	Acuña, Luis	Arg Takkyu	1627	2	382
379	Escude, Horacio	Ingeniero Acosta	1627	2	962
380	Sanabria, Oscar	GTM	1626	2	1840
381	Poza, Tomas	Banco Nacion	1624	2	3604
382	Perez, Alejandro	CEDIMA	1621	2	963
383	Chirino, Maria Florencia	Asoc. Yabrudense	1620	2	3568
384	Rossi, Mauro	CPCN Villa Gesell	1618	2	1061
385	Satriani, Genaro	Ferrocarril Oeste	1618	2	1473
386	Poza, Franco	Libre	1617	2	2063
387	Peralta, Lucas	Libre	1614	2	1362
388	Ence, Marcos Emmanuel	Inst.Atlet. Cultural	1613	2	1664
389	Aburachid Auad, Luiz G.	La Legión TDM	1613	2	2623
390	Aguirre, Sebastián	Arg Takkyu	1611	2	77
391	Mazzoni, Germán (F)	Libre	1610	2	503
392	Ametrano, Lucas	Libre	1609	2	1019
393	Maciel, Fabricio	Libre	1609	2	4074
394	Simoiz, Enzo	Top Serrano	1603	2	3603
395	Castagnola, Cristian A.	Rioja	1603	2	3658
396	Sosa Torales, Enzo	Oeste TDM	1602	2	903
397	Mayer, Lisa Marie	River Plate	1602	2	3274
398	Parinelli, David	Boca Juniors	1601	2	2982
399	Pighini, Pablo	TMR	1600	2	201
400	Soria Castillo, Tomas M.	Fenix	1600	2	2875
401	Luquez, Gaston	Boca Juniors	1600	2	4596
