Pos	Jugador	Club	Puntos	Categoría
4428	Gauto, Rodrigo                     	Peñarol                       	450	7
4429	Suszczyk, Agustin                  	Peñarol                       	450	7
4430	Berna, Pilar                       	Peñarol                       	450	7
4431	Gallardo, Federico                 	Social Club TDM               	450	7
4432	Mendez, Lorenzo                    	TMR                           	450	7
4433	Martin, Esteban                    	TMR                           	450	7
4434	Montiel, Tomas                     	TMR                           	450	7
4435	Fastuca, Adrian Gabrie             	U.V.V.A.                      	450	7
4436	Paz, Esteban André                 	U.V.V.A.                      	450	7
4437	Levin, Paulina                     	Libre                         	450	7
4438	Bianchi, Pablo                     	Libre                         	450	7
4439	Mase, Diego                        	Libre                         	450	7
4440	Sasson, Gustavo                    	Libre                         	450	7
4441	Guixe, Jose                        	Zenit                         	450	7
4442	Giachetti, Juan Jose               	Zenit                         	450	7
4443	Amarilla, Eduardo                  	Oeste TDM                     	450	7
4444	Castillo, Rafael                   	Oeste TDM                     	450	7
4445	Barcin, Cristian                   	Oeste TDM                     	450	7
4446	Suk, Huiwon                        	Estacion Ping Pong            	450	7
4447	Velozo, Mauricio Leonel            	La Huella                     	450	7
4448	Chocron, Fabian                    	Sociedad Hebraica             	450	7
4449	Talmasky, Ivan                     	Sociedad Hebraica             	450	7
4450	Capuzzello, Thiago                 	Tigre TDM                     	450	7
4451	Fernandez, Jose Luis               	Libre                         	450	7
4452	Kabakian, Emanuel                  	Ateneo de Versailles          	450	7
4453	Crovara, Mateo                     	Top Minc                      	450	7
4454	Quintavalla, Fabrizzio             	Arg Takkyu                    	450	7
4455	Cataldo, Javier                    	Estacion Ping Pong            	450	7
4456	Briceño, Jesus                     	Club Urquiza                  	450	7
4457	Escurra, Yesica M.                 	CTDM Nizetich                 	450	7
4458	Chazarreta Ruiz, Geronimo          	Fenix                         	450	7
4459	Lopina, Mauro                      	Arg Takkyu                    	450	7
4460	Deniz, Ezequiel A.                 	Tigre TDM                     	450	7
4461	Martinez, Exequiel F.              	Inst.Atlet. Cultural          	450	7
4462	Filgueiras Caballero, Tobias       	Nichia Gakuin                 	450	7
4463	Lin, Antonio                       	Ferrocarril Oeste             	450	7
4464	Aguilar, Mario                     	CEDIMA                        	450	7
4465	Figueredo Cortez, Carla            	CEDIMA                        	450	7
4466	Mendez, Eugenio A.                 	Club Italiano JCPaz           	450	7
4467	Kaihara, Felipe                    	Asoc. Jap. Burzaco            	450	7
4468	Riera Garcia, Miguel Angel         	CEDIMA                        	450	7
4469	Wagner, Leo                        	Libre                         	450	7
4470	Chen, Franco Emanuel               	Comunidad China TdM           	450	7
4471	Yang, Andres Nicolas               	Comunidad China TdM           	450	7
4472	Lin Feng, Gabriel                  	Comunidad China TdM           	450	7
4473	Arfa Tenenberg, Martin             	Libre                         	450	7
4474	Ramirez Albamonte, Juan I.         	Ateneo de Versailles          	450	7
4475	D'Amico, Lautaro                   	Ateneo de Versailles          	450	7
4476	Rodriguez Barone, Gabriel          	Inst.Atlet. Cultural          	450	7
4477	Estrada Ormeño, Tobias             	Spin TDM                      	450	7
4478	Pagani, Juan Ignacio               	Fulgor Villa Crespo           	450	7
4479	Furman, Lautaro                    	Fulgor Villa Crespo           	450	7
4480	Paramio, Gabriel                   	Inst.Atlet. Cultural          	450	7
4481	Bianchi, Dario L.                  	Def. Santos Lugares           	450	7
4482	Sanchez, Jorge A.                  	Adrogue Sith Spin             	450	7
4483	Gonzalez, Alejandro D.             	Adrogue Sith Spin             	450	7
4484	Balcker, Kevin                     	Club Urquiza                  	450	7
4485	Ferreyra Albornoz, Benjamin        	Zenit                         	450	7
4486	Barreto, Ricardo                   	Zenit                         	450	7
4487	Traferro, Juan Ignacio             	CTDM Nizetich                 	450	7
4488	Zagordo, Ariel D.                  	CASA de Padua                 	450	7
4489	Gimenez, Fernando                  	CASA de Padua                 	450	7
4490	Cespedes, Ricardo                  	CASA de Padua                 	450	7
4491	Josid, Jorge A.                    	CASA de Padua                 	450	7
4492	Federico, Valentino                	Banco Nacion                  	450	7
4493	Sanchez, Patricia                  	Ateneo de Versailles          	450	7
4494	Damiani, Matias S.                 	Astros Tenis de Mesa          	450	7
4495	Reynoso, Nazareno                  	Club Italiano JCPaz           	450	7
4496	Burda Acedo, Maria Agostina        	La Legión TDM                 	450	7
4497	Paez, Maximiliano                  	Ateneo de Versailles          	450	7
4498	Contartese, Demian                 	Ateneo de Versailles          	450	7
4499	Linares, Juan Esteba               	Ateneo de Versailles          	450	7
4500	Selci, Julian Dario                	Ateneo de Versailles          	450	7
4501	Yamauchi, Lucia                    	Asoc. Jap. Burzaco            	450	7
4502	Grunblatt, Christian               	Ateneo de Versailles          	450	7
4503	Barroso Martinez, Lucas            	La Legión TDM                 	450	7
4504	Kalugin, Maksim                    	La Legión TDM                 	450	7
4505	Bobeda, Matias                     	La Legión TDM                 	450	7
4506	Podolskyy, Maksim                  	La Legión TDM                 	450	7
4507	Sanchez, Javier                    	La Legión TDM                 	450	7
4508	Sartor, Diego                      	La Legión TDM                 	450	7
4509	Otero, Elena                       	La Legión TDM                 	450	7
4510	Fernandez Giraldo, Diego           	La Legión TDM                 	450	7
4511	Casarin Novak, Erica               	La Legión TDM                 	450	7
4512	Exeni Royo, Omar                   	Banco Nacion                  	450	7
4513	Drahos, Jorge                      	Asoc. Jap. Burzaco            	450	7
4514	Diacovo Dominguez, Lisandro        	Club 4F                       	450	7
4515	Carrica, Juan Manuel               	CASA de Padua                 	450	7
4516	Stalla, Victor                     	La Legión TDM                 	450	7
4517	Dominguez, Camila                  	Oeste TDM                     	450	7
4518	Rodriguez, Fernando A.             	Circulo Campano               	450	7
4519	Moreno, Pablo                      	Tigre TDM                     	450	7
4520	Su, Chung Yuan                     	Comunidad China TdM           	450	7
4521	Tian, Luca                         	Comunidad China TdM           	450	7
4522	Halporn, Monica                    	Bar Ping Pong NTE             	450	7
4523	Fregeiro Gil, Pablo                	Libre                         	450	7
4524	Rojas, Damian                      	Ateneo de Versailles          	450	7
4525	Righi, Juan Manuel                 	Ateneo de Versailles          	450	7
4526	Garcia, Marcelo A.                 	Ateneo de Versailles          	450	7
4527	Polutranka, Angel R.               	Ateneo de Versailles          	450	7
4528	Mastronardi, Federico              	Ateneo de Versailles          	450	7
4529	Rey, Julian                        	Banco Nacion                  	450	7
4530	Capelli, Mauro A.                  	Ateneo de Versailles          	450	7
4531	Perez, Eduardo A.                  	Ateneo de Versailles          	450	7
4532	Penna, Alejandro G.                	Ateneo de Versailles          	450	7
