pos	jugador	club 	puntos	categoria
381	Restivo, Mariano	La Legión TDM	460	7
382	Robinsohn, Hilario	Instituto Cia. Maria	449	7
383	Messina, Federico	Ferrocarril Oeste	441	7
384	Monti, Federico	Tigre TDM	441	7
385	Vazon, Nahuel	River Plate	438	7
386	Abud, Iair	Sociedad Hebraica	426	7
387	Deiana, Ivan	River Plate	422	7
388	Cabrera, Adriel	La Legión TDM	414	7
389	Teves, Cristian	Jorge Newbery TDM	413	7
390	Fantino, Juan Pablo	San Lorenzo	410	7
391	Pires, Mauro	Instituto Cia. Maria	410	7
392	Suarez, Franco E.	Club Italiano JCPaz	403	7
393	Ortega, Ignacio Luis	River Plate	401	7
394	Zolkwer, Luca	Atlanta	374	7
