pos	id	jugador	club	puntos	categoria
1351	1330	Ballon, Pablo                      	Rioja                         	997	4
1352	3954	Vegas, Daniel J.                   	Padilla                       	997	4
1353	384	Cantilo, Rocío                     	Ateneo de Versailles          	996	4
1354	386	Stancich, Juan                     	Libre                         	996	4
1355	698	Ricciardeli, Lautaro               	Fenix                         	996	4
1356	871	Avendaño, Cristian                 	Ingeniero Acosta              	996	4
1357	1150	Cantarian, Aníbal                  	GTM                           	996	4
1358	1683	Caputi, Joel                       	Peñarol                       	996	4
1359	411	Linfozzi, Marcelo                  	Libre                         	995	4
1360	567	Kelmanovich, Matías                	Libre                         	995	4
1361	626	Okada, Eduardo                     	TMR                           	995	4
1362	1411	Bau, Walter                        	Spin TDM                      	994	4
1363	2665	Leuzi, Sebastian                   	Zenit                         	994	4
1364	1257	Ojeda, Martín                      	El Galpong                    	993	4
1365	2923	Castillo, Daniel F.                	Gimnasty                      	993	4
1366	316	Altamirano, Luis                   	Peretz                        	992	4
1367	376	Trovato, Leandro                   	Libre                         	992	4
1368	812	Perez, Federico Agustín            	Peretz                        	992	4
1369	1201	Predazzi, Andrés                   	Padilla                       	992	4
1370	1674	Peralta, Gabriel Horacio           	Libre                         	992	4
1371	2135	Von Eckstein, Juan Jose            	GTM                           	992	4
1372	2647	Milgram, Roni                      	Macabi                        	992	4
1373	2004	Solla, Enzo                        	Zenit                         	991	4
1374	2715	Fernandez, Mariano Ezequiel        	Atlanta                       	991	4
1375	338	Gimenez Tombuer, Hernán            	Libre                         	990	4
1376	393	Minc, Adrián                       	Libre                         	990	4
1377	431	Zurlo, Fernando                    	Libre                         	990	4
1378	991	Valle Palacios, Tomás              	CAVA                          	990	4
1379	1424	Lagoa, Gabriel                     	Padilla                       	990	4
1380	2238	Paz, Santiago                      	Fenix                         	990	4
1381	3309	Lamarina, Lucas                    	Peñarol                       	990	4
1382	355	Iwasa, Laura                       	Gimnasty                      	989	4
1383	389	Rodiño, Leandro                    	Libre                         	988	4
1384	722	Chehebar, Mariano                  	Top Minc                      	988	4
1385	1126	Madero, Oscar                      	Oeste TDM                     	988	4
1386	387	Ferrero, Federico                  	CEDIMA                        	987	4
1387	388	Zelada, Federico                   	CEDIMA                        	987	4
1388	684	De Pinto, Emilio                   	Lourdes                       	987	4
1389	866	Gonzalez, Roberto Antonio          	Lourdes                       	987	4
1390	2942	Ares, Juan Rodrigo                 	Ingeniero Acosta              	987	4
1391	373	Burghi, Natalio                    	Libre                         	986	4
1392	966	Cherny, Fabián                     	CTDM Nizetich                 	986	4
1393	1370	Sisaric, Andrés                    	Peretz                        	986	4
1394	395	Lobo, Agustín                      	Ferrocarril Oeste             	985	4
1395	396	Bermudez, Matías                   	Libre                         	985	4
1396	798	Zaourak, Javier                    	Lourdes                       	985	4
1397	443	Estrada, Marcelo                   	Spin TDM                      	984	4
1398	1412	Mario, Federico                    	Fenix                         	984	4
1399	305	Anguillesi, Miguel                 	Fenix                         	983	4
1400	357	Rizzutti, Gerardo                  	Libre                         	983	4
1401	394	Belaustegui, Miguel                	River Plate                   	983	4
1402	658	Paolini, Santiago                  	Ferrocarril Oeste             	983	4
1403	4512	 Diaz, Matias E.                   	TMR                           	983	4
1404	3851	Molteno, Juan Andres               	Top Minc                      	983	4
1405	594	Basseterre, Nicolás                	Intendente Agüero             	982	4
1406	2680	Leiva, Pablo                       	Alvear Club                   	982	4
1407	3510	Villarruel, Ary Javier             	Spin TDM                      	981	4
1408	98	Cohen, Jonathan                    	Alvear Club                   	980	4
1409	447	Mendez, Lucas                      	Libre                         	980	4
1410	664	Khatcherian, Daniel                	Top Minc                      	980	4
1411	119	Mercau, Flavio                     	Padilla                       	979	4
1412	763	Bandi, Andrés                      	Top Minc                      	979	4
1413	2240	Ronis, Nicolas                     	River Plate                   	979	4
1414	1144	Lemos, Andrés                      	GTM                           	978	4
1415	1865	Rodriguez Novillo, Diego           	Alvear Club                   	978	4
1416	2044	Gerez, Alan                        	Club Italiano JCPaz           	978	4
1417	352	Schuklapper, Alejandro             	Libre                         	977	4
1418	1124	Yamasato, Pablo                    	Peretz                        	977	4
1419	2602	Shahmuradyan, Rafael               	La Legión TDM                 	977	4
1420	4230	Rodriguez Molinari, Pablo          	Bar Ping Pong NTE             	977	4
1421	1367	Peralta, Hernán                    	Intendente Agüero             	976	4
1422	585	Garcia Mingrone, Alejandro         	Nichia Gakuin                 	975	4
1423	1051	Lopez, Sebastián                   	Gral. Sarmiento               	975	4
1424	3989	Izquierdo, Guillermo               	Macabi                        	975	4
1425	1255	Opazo, David                       	Padilla                       	974	4
1426	2277	Campodonico, Diego M               	Padilla                       	974	4
1427	3753	Rebelles, Gabriel                  	Fenix                         	974	4
1428	403	Garcia, Miguel                     	Libre                         	973	4
1429	2529	Liebana, Sebastian                 	La Legión TDM                 	973	4
1430	425	Vergara, Coralia del Carmen        	Rioja                         	972	4
1431	1110	Quiroga, Gustavo                   	Ingeniero Acosta              	972	4
1432	2812	Girotti, Adrian                    	Banco Nacion                  	972	4
1433	4241	Malave, Alberto                    	Libertad                      	972	4
1434	1372	Cerraburu, Tomás                   	Rioja                         	972	4
1435	916	Beviglia, Alejandro                	Rioja                         	971	4
1436	1300	Vique, Daniel                      	TMR                           	971	4
1437	1502	Lacoa, Marcos                      	Arg Takkyu                    	971	4
1438	3314	Higa, Facundo E                    	Asoc. Jap. Burzaco            	971	4
1439	4228	Spinelli, Gonzalo                  	Banco Nacion                  	971	4
1440	767	Plaskin, Gabriel                   	Libre                         	970	4
1441	1195	Mauas, Adrián                      	CTDM Nizetich                 	970	4
1442	3816	Crovara, Alberto                   	Top Minc                      	970	4
1443	497	Vaisenstein, Claudio               	Libre                         	969	4
1444	749	Lara, Diego                        	Rioja                         	969	4
1445	1239	Oliveira Mori, Dorian              	Libre                         	969	4
1446	1046	Cajal, Eduardo Ignacio             	Oeste TDM                     	968	4
1447	1115	Blaksley, Carlos                   	Libre                         	968	4
1448	132	Camiser, Sebastián                 	Nichia Gakuin                 	967	4
1449	1937	Sosa Torales, Álvaro               	Oeste TDM                     	967	4
1450	2468	Sasson, Maximiliano D              	Sociedad Hebraica             	966	4
1451	2929	Muralidharan, Ambarish             	La Legión TDM                 	966	4
